time  open      close       high        low       volume         money
20140703000000  2169.0000  2180.1900  2184.9600  2164.8400   6369069000   56024939299
20140704000000  2180.4500  2178.7000  2183.8000  2174.0700   5285110600   47990033413
20140707000000  2178.5500  2176.2900  2186.2000  2171.0800   5024233400   47663876919
20140708000000  2174.8300  2180.4700  2180.7800  2163.3600   5074359900   46017266874
20140709000000  2178.1400  2148.7100  2178.5100  2148.2600   6202204600   58980248398
20140710000000  2146.6000  2142.8500  2151.7700  2139.5200   5573249700   50931668887
20140711000000  2136.3200  2148.0100  2154.7400  2134.8000   6137427400   51551825645
20140714000000  2149.5400  2171.7600  2171.9000  2145.2800   6615886300   60467088864
20140715000000  2170.0900  2174.9800  2176.2700  2165.2100   7181569400   64304875149
20140716000000  2172.8200  2170.8700  2183.2500  2166.7700   8156023000   61126054498
20140717000000  2166.8300  2157.0700  2166.9300  2147.0800   5945356800   46354646289
20140718000000  2147.6600  2164.1400  2176.3200  2145.4500   6547329500   53758919136
20140721000000  2164.2200  2166.3000  2171.9400  2158.9500   5417226000   47731629577
20140722000000  2162.4400  2192.7000  2197.5900  2162.2400   7854258300   66806114430
20140723000000  2191.3900  2197.8300  2210.2800  2190.5500   8421387200   69177998063
20140724000000  2199.8300  2237.0100  2239.8200  2199.8300  11943553400   99964367602
20140725000000  2243.0700  2260.4500  2260.8900  2239.0700   9897283800   81994560081
20140728000000  2272.3800  2323.9000  2331.4700  2272.3800  17986933300  145277424291
20140729000000  2326.0400  2331.3700  2342.7700  2316.2200  13426964100  112176546316
20140730000000  2324.6900  2322.0100  2339.0400  2316.0600  12302283200  103362308865
20140731000000  2321.9700  2350.2500  2350.5500  2316.5900  11098776900   93135566963
20140801000000  2341.2300  2329.4000  2371.5000  2328.9700  12631739000  106125190266
20140804000000  2336.6300  2375.6200  2375.6200  2332.1400  11671375400  101301888277
